artist	album	track_no	title	length	file	size
John Cale	The Island Years [Disc 1]	3	Barracuda	3:48	Compilations\The Island Years [Disc 1]\1-03 Barracuda.mp3	5476046
John Cale	The Island Years [Disc 1]	4	Emily	4:22	Compilations\The Island Years [Disc 1]\1-04 Emily.mp3	6307990
John Cale	The Island Years [Disc 1]	5	Ship of Fools	4:37	Compilations\The Island Years [Disc 1]\1-05 Ship of Fools.mp3	6673503
John Cale	The Island Years [Disc 1]	11	All I Want is You	2:57	Compilations\The Island Years [Disc 1]\1-11 All I Want is You.mp3	4254151
John Cale	The Island Years [Disc 1]	13	Mr. Wilson	3:17	Compilations\The Island Years [Disc 1]\1-13 Mr. Wilson.mp3	4745037
Cheap Trick	The Latest	3	California Girl	2:47	Compilations\The Latest\03 California Girl.mp3	4015890
Holly & Ken	The Record	1	The Record	2:30	Compilations\The Record\01 The Record.mp3	6102035
Holly & Ken	The Record	2	Ballad of the Record	3:58	Compilations\The Record\02 Ballad of the Record.mp3	9633800
Holly & Ken	The Record	3	The Record Theme	1:29	Compilations\The Record\03 The Record Theme.mp3	3672654
Holly & Ken	The Record	4	Whatever Hell (Pre-Prise)	1:31	Compilations\The Record\04 Whatever Hell (Pre-Prise).mp3	3743717
Holly & Ken	The Record	5	Meet Me in Miami	3:05	Compilations\The Record\05 Meet Me in Miami.mp3	7509521
Holly & Ken	The Record	6	Whatever Hell	3:57	Compilations\The Record\06 Whatever Hell.mp3	9584685
Holly & Ken	The Record	7	The Record Goes On	0:43	Compilations\The Record\07 The Record Goes On.mp3	1825277
Holly & Ken	The Record	8	Edelweiss	1:57	Compilations\The Record\08 Edelweiss.mp3	4786508
Holly & Ken	The Record	9	Nogales	1:59	Compilations\The Record\09 Nogales.mp3	4865920
Holly & Ken	The Record	10	You Can't Keep a Diamond in Jail	1:06	Compilations\The Record\10 You Can't Keep a Diamond in Jail.mp3	2746892
Holly & Ken	The Record	11	Bubbles in the Beer	1:46	Compilations\The Record\11 Bubbles in the Beer.mp3	4344529
Holly & Ken	The Record	12	The You the Singer Sings To	3:47	Compilations\The Record\12 The You the Singer Sings To.mp3	9180324
Holly & Ken	The Record	13	Secrets Unrevealed	3:18	Compilations\The Record\13 Secrets Unrevealed.mp3	8025703
Holly & Ken	The Record	14	Another One for the Record	3:32	Compilations\The Record\14 Another One for the Record.mp3	8589955
Holly & Ken	The Record	15	Doesn't It Remind You of Something	3:21	Compilations\The Record\15 Doesn't It Remind You of Somethin.mp3	8146926
Holly & Ken	The Record	16	Time of the Preacher	3:09	Compilations\The Record\16 Time of the Preacher.mp3	7665214
The Soft Boys	1976-1981	8	Give It To The Soft Boys	1:36	Compilations\the Soft Boys 1976-81 (Disc 1)\Give It To The Soft Boys.mp3	2316408
The Soft Boys	1976-1981	9	I Want To Be A Anglepoise Lamp	2:59	Compilations\the Soft Boys 1976-81 (Disc 1)\I Want To Be A Anglepoise Lamp.mp3	4308826
The Soft Boys	1976-1981	7	Wading Though A Ventilator	3:22	Compilations\the Soft Boys 1976-81 (Disc 1)\Wading Though A Ventilator.mp3	4872440
The Soft Boys	1976-1981	1	Wey Wey Hep Uh Hole	3:51	Compilations\the Soft Boys 1976-81 (Disc 1)\Wey Wey Hep Uh Hole.mp3	5556423
7 Worlds Collide	The Sun Came Out Disc 2	15	Long Time Gone	4:02	Compilations\The Sun Came Out Disc 2\15 Long Time Gone.mp3	5825906
The Beach Boys	The Warmth Of The Sun	1	All Summer Long	2:09	Compilations\The Warmth Of The Sun\01 All Summer Long.mp3	3102457
The Beach Boys	The Warmth Of The Sun	2	Catch A Wave	2:08	Compilations\The Warmth Of The Sun\02 Catch A Wave.mp3	3075495
The Beach Boys	The Warmth Of The Sun	3	Hawaii	2:00	Compilations\The Warmth Of The Sun\03 Hawaii.mp3	2888035
The Beach Boys	The Warmth Of The Sun	4	Little Honda	1:52	Compilations\The Warmth Of The Sun\04 Little Honda.mp3	2693690
The Beach Boys	The Warmth Of The Sun	5	409	2:00	Compilations\The Warmth Of The Sun\05 409.mp3	2903078
The Beach Boys	The Warmth Of The Sun	7	You're So Good To Me	2:15	Compilations\The Warmth Of The Sun\07 You're So Good To Me.mp3	3251673
The Beach Boys	The Warmth Of The Sun	8	Then I Kissed Her	2:16	Compilations\The Warmth Of The Sun\08 Then I Kissed Her.mp3	3273613
The Beach Boys	The Warmth Of The Sun	9	Kiss Me, Baby	2:43	Compilations\The Warmth Of The Sun\09 Kiss Me, Baby.mp3	3933776
The Beach Boys	The Warmth Of The Sun	10	Please Let Me Wonder	2:50	Compilations\The Warmth Of The Sun\10 Please Let Me Wonder.mp3	4093026
The Beach Boys	The Warmth Of The Sun	11	Let Him Run Wild	2:20	Compilations\The Warmth Of The Sun\11 Let Him Run Wild.mp3	3375305
The Beach Boys	The Warmth Of The Sun	12	The Little Girl I Once Knew	2:34	Compilations\The Warmth Of The Sun\12 The Little Girl I Once Knew.mp3	3720004
The Beach Boys	The Warmth Of The Sun	13	Wendy	2:20	Compilations\The Warmth Of The Sun\13 Wendy.mp3	3379555
The Beach Boys	The Warmth Of The Sun	21	All This Is That	3:57	Compilations\The Warmth Of The Sun\21 All This Is That.mp3	5696104
The Beach Boys	The Warmth Of The Sun	27	California Dreamin'	3:24	Compilations\The Warmth Of The Sun\27 California Dreamin'.mp3	4908672
The Beach Boys	The Warmth Of The Sun	28	The Warmth Of The Sun	2:50	Compilations\The Warmth Of The Sun\28 The Warmth Of The Sun.mp3	4091146
The Ronettes	The Wrecking Crew	1	Be My Baby	2:42	Compilations\The Wrecking Crew\01 01 Be My Baby.mp3	6604486
The Moments	The Wrecking Crew	2	Walk Right In	2:11	Compilations\The Wrecking Crew\01 02 Walk Right In.mp3	5389273
Gary Lewis & The Playboys	The Wrecking Crew	3	This Diamond Ring	2:18	Compilations\The Wrecking Crew\01 03 This Diamond Ring.mp3	5677701
Jewel Akens	The Wrecking Crew	4	The Birds and the Bees	2:16	Compilations\The Wrecking Crew\01 04 The Birds and the Bees.mp3	5569014
Ritchie Valens	The Wrecking Crew	5	La Bamba	2:05	Compilations\The Wrecking Crew\01 05 La Bamba.mp3	5146853
Shelly Fabre	The Wrecking Crew	6	Johnny Angel	2:21	Compilations\The Wrecking Crew\01 06 Johnny Angel.mp3	5777975
The Byrds	The Wrecking Crew	7	Mr. Tambourine Man	2:31	Compilations\The Wrecking Crew\01 07 Mr. Tambourine Man.mp3	6184447
Marilyn McCoo & Billy Davis Jr	The Wrecking Crew	8	Marilyn McCoo and Billy Davis Jr discuss Stone Soul Picnic	0:59	Compilations\The Wrecking Crew\01 08 Marilyn McCoo and Billy Davis Jr discuss Stone Soul Picnic.mp3	2509663
5th Dimension	The Wrecking Crew	9	Stoned Soul Picnic	3:33	Compilations\The Wrecking Crew\01 09 Stoned Soul Picnic.mp3	8643100
The Routers	The Wrecking Crew	10	Let's Go (Pony)	2:22	Compilations\The Wrecking Crew\01 10 Let's Go (Pony).mp3	5807239
April and Nino	The Wrecking Crew	11	Deep Purple	2:44	Compilations\The Wrecking Crew\01 11 Deep Purple.mp3	6691220
Ritchie Valens	The Wrecking Crew	12	Donna	2:28	Compilations\The Wrecking Crew\01 12 Donna.mp3	6068449
Chris Montez	The Wrecking Crew	13	Let's Dance	2:31	Compilations\The Wrecking Crew\01 13 Let's Dance.mp3	6190710
Mike Melvoin	The Wrecking Crew	14	Mike Melvoin Drummer Joke	0:10	Compilations\The Wrecking Crew\01 14 Mike Melvoin Drummer Joke.mp3	536795
Dean Torrence	The Wrecking Crew	15	Dean Torrence talks about Baby Talk	1:39	Compilations\The Wrecking Crew\01 15 Dean Torrence talks about Baby Talk.mp3	4097830
Jan and Dean	The Wrecking Crew	16	Baby Talk	2:26	Compilations\The Wrecking Crew\01 16 Baby Talk.mp3	5959784
The Mamas & The Papas	The Wrecking Crew	17	Monday, Monday	3:27	Compilations\The Wrecking Crew\01 17 Monday, Monday.mp3	8434130
The Teddy Bears	The Wrecking Crew	18	To Know Him Is To Love Him	2:26	Compilations\The Wrecking Crew\01 18 To Know Him Is To Love Him.mp3	5968183
The Sandpipers	The Wrecking Crew	19	Guantanamera	3:13	Compilations\The Wrecking Crew\01 19 Guantanamera.mp3	7874047
The Beach Boys	The Wrecking Crew	1	Good Vibrations	3:39	Compilations\The Wrecking Crew\02 01 Good Vibrations.mp3	8897006
The Mamas & The Papas	The Wrecking Crew	2	California Dreamin'	2:44	Compilations\The Wrecking Crew\02 02 California Dreamin'.mp3	6700652
Tommy Roe	The Wrecking Crew	3	Dizzy	2:56	Compilations\The Wrecking Crew\02 03 Dizzy.mp3	7166625
Barry McGuire	The Wrecking Crew	4	Barry McGuire talks about Eve of Destruction	1:11	Compilations\The Wrecking Crew\02 04 Barry McGuire talks about Eve of Destruction.mp3	2975625
Barry McGuire	The Wrecking Crew	5	Eve of Destruction	3:35	Compilations\The Wrecking Crew\02 05 Eve of Destruction.mp3	8716243
The Association	The Wrecking Crew	6	Windy	2:56	Compilations\The Wrecking Crew\02 06 Windy.mp3	7188580
5th Dimension	The Wrecking Crew	7	Up, Up and Away	2:38	Compilations\The Wrecking Crew\02 07 Up, Up and Away.mp3	6469706
Herb Alpert	The Wrecking Crew	8	This Guy's In Love With You	4:02	Compilations\The Wrecking Crew\02 08 This Guy's In Love With You.mp3	9808175
Harry Nilsson	The Wrecking Crew	9	Everybody's Talkin'	2:51	Compilations\The Wrecking Crew\02 09 Everybody's Talkin'.mp3	6980669
Miss Toni Fisher	The Wrecking Crew	10	The Big Hurt	2:11	Compilations\The Wrecking Crew\02 10 The Big Hurt.mp3	5364206
The Monkees	The Wrecking Crew	11	Mary, Mary	2:27	Compilations\The Wrecking Crew\02 11 Mary, Mary.mp3	6035016
Sonny And Cher	The Wrecking Crew	12	The Beat Goes On	3:32	Compilations\The Wrecking Crew\02 12 The Beat Goes On.mp3	8605483
Jack Nizsche	The Wrecking Crew	13	Baja	2:23	Compilations\The Wrecking Crew\02 13 Baja.mp3	5841700
The Shacklefords	The Wrecking Crew	14	California Sunshine Girl	2:46	Compilations\The Wrecking Crew\02 14 California Sunshine Girl.mp3	6759169
Michael Nesmith	The Wrecking Crew	15	The Flying Telecaster story	3:20	Compilations\The Wrecking Crew\02 15 The Flying Telecaster story.mp3	8133213
Michael Nesmith	The Wrecking Crew	16	You Told Me	4:37	Compilations\The Wrecking Crew\02 16 You Told Me.mp3	11226079
Suzi Jane Hokom	The Wrecking Crew	17	Little War	2:09	Compilations\The Wrecking Crew\02 17 Little War.mp3	5282698
Glen Campbell	The Wrecking Crew	1	Wichita Lineman	3:10	Compilations\The Wrecking Crew\03 01 Wichita Lineman.mp3	7752841
The Grass Roots	The Wrecking Crew	2	Midnight Confessions	2:49	Compilations\The Wrecking Crew\03 02 Midnight Confessions.mp3	6916936
The Beach Boys	The Wrecking Crew	3	God Only Knows	2:56	Compilations\The Wrecking Crew\03 03 God Only Knows.mp3	7162473
Wayne Newton	The Wrecking Crew	4	Danke Shoen	2:39	Compilations\The Wrecking Crew\03 04 Danke Shoen.mp3	6486414
Louie Shelton	The Wrecking Crew	5	Louie Shelton talks about Valerie	1:22	Compilations\The Wrecking Crew\03 05 Louie Shelton talks about Valerie.mp3	3436403
The Monkees	The Wrecking Crew	6	Valleri	2:27	Compilations\The Wrecking Crew\03 06 Valleri.mp3	6016200
Sam Cooke	The Wrecking Crew	7	Another Saturday Night	2:44	Compilations\The Wrecking Crew\03 07 Another Saturday Night.mp3	6686006
The Marketts	The Wrecking Crew	8	Out of Limits	2:13	Compilations\The Wrecking Crew\03 08 Out of Limits.mp3	5457194
Ann Margret & Lee Hazelwood	The Wrecking Crew	9	Sleep in the Grass	3:25	Compilations\The Wrecking Crew\03 09 Sleep in the Grass.mp3	8336973
Paul Revere And The Raiders	The Wrecking Crew	10	Indian Reservation (The Lament of the Cherokee Reservation Indian)	2:56	Compilations\The Wrecking Crew\03 10 Indian Reservation (The Lament of the Cherokee Reservation Indian).mp3	7162605
Mike Melvoin	The Wrecking Crew	11	Mike Melvoin Saxaphone Player Joke	1:10	Compilations\The Wrecking Crew\03 11 Mike Melvoin Saxaphone Player Joke.mp3	2928585
Cher	The Wrecking Crew	12	Gypsies, Tramps and Thieves	2:40	Compilations\The Wrecking Crew\03 12 Gypsies, Tramps and Thieves.mp3	6539722
Seals and Crofts	The Wrecking Crew	13	Summer Breeze	3:30	Compilations\The Wrecking Crew\03 13 Summer Breeze.mp3	8528159
Jack Nitzsche	The Wrecking Crew	14	The Lonely Surfer	2:37	Compilations\The Wrecking Crew\03 14 The Lonely Surfer.mp3	6436275
Hal Blane	The Wrecking Crew	15	Hal Blaine 3 piece suit Joke	0:11	Compilations\The Wrecking Crew\03 15 Hal Blaine 3 piece suit Joke.mp3	596354
The Tijuana Brass	The Wrecking Crew	16	Whipped Cream	2:37	Compilations\The Wrecking Crew\03 16 Whipped Cream.mp3	6422691
The Mamas and Papas	The Wrecking Crew	17	Dedicated to the One I Love	3:02	Compilations\The Wrecking Crew\03 17 Dedicated to the One I Love.mp3	7403883
Ray Charles	The Wrecking Crew	18	Bein' Green	2:47	Compilations\The Wrecking Crew\03 18 Bein' Green.mp3	6834365
Bobby Sherman	The Wrecking Crew	19	Julie, Do Ya Love Me	2:59	Compilations\The Wrecking Crew\03 19 Julie, Do Ya Love Me.mp3	7281604
Lee Hazelwood	The Wrecking Crew	20	Forget Marie	2:01	Compilations\The Wrecking Crew\03 20 Forget Marie.mp3	4971318
Hal Balines Hollywood Drum Band	The Wrecking Crew	1	The Beat Goes On	3:39	Compilations\The Wrecking Crew\04 01 The Beat Goes On.mp3	8893907
Al Casey	The Wrecking Crew	2	Surfin' Hootenanny	2:11	Compilations\The Wrecking Crew\04 02 Surfin' Hootenanny.mp3	5386143
Billy Strange	The Wrecking Crew	3	James Bond Theme	2:00	Compilations\The Wrecking Crew\04 03 James Bond Theme.mp3	4934753
Tommy Tedesco	The Wrecking Crew	4	Walking and Talking	6:52	Compilations\The Wrecking Crew\04 04 Walking and Talking.mp3	16614628
Al Delory	The Wrecking Crew	5	Floreando	3:39	Compilations\The Wrecking Crew\04 05 Floreando.mp3	8885490
Don Randi & John DePatie	The Wrecking Crew	6	DePatie Melt (Featuring Don Randi & John DePatie)	2:57	Compilations\The Wrecking Crew\04 06 DePatie Melt (Featuring Don Randi & John DePatie).mp3	7208539
Buddy Collette	The Wrecking Crew	7	Safari West	7:01	Compilations\The Wrecking Crew\04 07 Safari West.mp3	16969879
Hal Blaine	The Wrecking Crew	8	Deep Drum	3:12	Compilations\The Wrecking Crew\04 08 Deep Drum.mp3	7830145
Mike Deasy	The Wrecking Crew	9	Lost In The Shuffle	3:08	Compilations\The Wrecking Crew\04 09 Lost In The Shuffle.mp3	7645218
Frank Capp	The Wrecking Crew	10	Cute	3:08	Compilations\The Wrecking Crew\04 10 Cute.mp3	7648325
Dennis Budimir	The Wrecking Crew	11	Concierto De Aranjuez	4:55	Compilations\The Wrecking Crew\04 11 Concierto De Aranjuez.mp3	11939763
Emil Richards	The Wrecking Crew	12	Ciao Bella	5:50	Compilations\The Wrecking Crew\04 12 Ciao Bella.mp3	14126710
Michel Rubini	The Wrecking Crew	13	Blues Cha Cha	3:30	Compilations\The Wrecking Crew\04 13 Blues Cha Cha.mp3	8531288
Lyle Ritz	The Wrecking Crew	14	Beginner's Luck	3:20	Compilations\The Wrecking Crew\04 14 Beginner's Luck.mp3	8156165
Chuck Berghofer	The Wrecking Crew	15	Afternoon In Paris	6:33	Compilations\The Wrecking Crew\04 15 Afternoon In Paris.mp3	15835138
Barney Kessel	The Wrecking Crew	16	Begin the Blues	4:26	Compilations\The Wrecking Crew\04 16 Begin the Blues.mp3	10776777
Tommy Tedesco	The Wrecking Crew	17	Room 2000	2:19	Compilations\The Wrecking Crew\04 17 Room 2000.mp3	5690202
Plas Johnson	The Wrecking Crew	18	Grease Patrol	6:26	Compilations\The Wrecking Crew\04 18 Grease Patrol.mp3	15563449
Laura Nyro	Time And Love: The Essential Masters	3	And When I Die	2:40	Compilations\Time And Love_ The Essential Masters\And When I Die.mp3	3854148
Laura Nyro	Time And Love: The Essential Masters	4	Blowin' Away	2:21	Compilations\Time And Love_ The Essential Masters\Blowin' Away.mp3	3387077
Laura Nyro	Time And Love: The Essential Masters	5	Eli's Comin'	3:59	Compilations\Time And Love_ The Essential Masters\Eli's Comin'.mp3	5756905
Laura Nyro	Time And Love: The Essential Masters	6	Goodbye Joe	2:42	Compilations\Time And Love_ The Essential Masters\Goodbye Joe.mp3	3911824
Laura Nyro	Time And Love: The Essential Masters	8	It's Gonna Take A Miracle	3:24	Compilations\Time And Love_ The Essential Masters\It's Gonna Take A Miracle.mp3	4920615
Laura Nyro	Time And Love: The Essential Masters	10	Lu	2:46	Compilations\Time And Love_ The Essential Masters\Lu.mp3	4005230
Laura Nyro	Time And Love: The Essential Masters	9	Stoned Soul Picnic	3:49	Compilations\Time And Love_ The Essential Masters\Stoned Soul Picnic.mp3	5500494
Laura Nyro	Time And Love: The Essential Masters	7	Stoney End	2:45	Compilations\Time And Love_ The Essential Masters\Stoney End.mp3	3977651
Laura Nyro	Time And Love: The Essential Masters	1	Sweet Blindness	2:38	Compilations\Time And Love_ The Essential Masters\Sweet Blindness.mp3	3808383
Laura Nyro	Time And Love: The Essential Masters	2	Wedding Bell Blues	2:55	Compilations\Time And Love_ The Essential Masters\Wedding Bell Blues.mp3	4209000
The Beach Boys	Today! / Summer Days (And Summer Nights!!)	14	Amusement Parks U.S.A.	2:30	Compilations\Today! _ Summer Days (And Summer Nights!\Amusement Parks U.S.A..mp3	3616586
The Beach Boys	Today! / Summer Days (And Summer Nights!!)	26	Dance, Dance, Dance (Alternate Take)	2:01	Compilations\Today! _ Summer Days (And Summer Nights!\Dance, Dance, Dance (Alternate Take).mp3	2908797
The Beach Boys	Today! / Summer Days (And Summer Nights!!)	1	Do You Wanna Dance	2:20	Compilations\Today! _ Summer Days (And Summer Nights!\Do You Wanna Dance.mp3	3367686
The Beach Boys	Today! / Summer Days (And Summer Nights!!)	17	Girl Don't Tell Me	2:20	Compilations\Today! _ Summer Days (And Summer Nights!\Girl Don't Tell Me.mp3	3376464
The Beach Boys	Today! / Summer Days (And Summer Nights!!)	2	Good To My Baby	2:17	Compilations\Today! _ Summer Days (And Summer Nights!\Good To My Baby.mp3	3305616
The Beach Boys	Today! / Summer Days (And Summer Nights!!)	29	Graduation Day (Studio Version)	2:21	Compilations\Today! _ Summer Days (And Summer Nights!\Graduation Day (Studio Version).mp3	3404072
The Beach Boys	Today! / Summer Days (And Summer Nights!!)	18	Help Me, Rhonda (Single Version)	2:49	Compilations\Today! _ Summer Days (And Summer Nights!\Help Me, Rhonda (Single Version).mp3	4074261
The Beach Boys	Today! / Summer Days (And Summer Nights!!)	11	In The Back Of My Mind	2:10	Compilations\Today! _ Summer Days (And Summer Nights!\In The Back Of My Mind.mp3	3127572
The Beach Boys	Today! / Summer Days (And Summer Nights!!)	28	Let Him Run Wild (Alternate Take)	2:16	Compilations\Today! _ Summer Days (And Summer Nights!\Let Him Run Wild (Alternate Take).mp3	3284946
The Beach Boys	Today! / Summer Days (And Summer Nights!!)	16	Salt Lake City	2:01	Compilations\Today! _ Summer Days (And Summer Nights!\Salt Lake City.mp3	2908764
The Beach Boys	Today! / Summer Days (And Summer Nights!!)	10	She Knows Me Too Well	2:30	Compilations\Today! _ Summer Days (And Summer Nights!\She Knows Me Too Well.mp3	3615331
The Beach Boys	Today! / Summer Days (And Summer Nights!!)	25	The Little Girl I Once Knew	2:38	Compilations\Today! _ Summer Days (And Summer Nights!\The Little Girl I Once Knew (Single.mp3	3807824
The Beach Boys	Today! / Summer Days (And Summer Nights!!)	15	Then I Kissed Her	2:17	Compilations\Today! _ Summer Days (And Summer Nights!\Then I Kissed Her.mp3	3314418
The Beach Boys	Today! / Summer Days (And Summer Nights!!)	21	You're So Good To Me	2:16	Compilations\Today! _ Summer Days (And Summer Nights!\You're So Good To Me.mp3	3277410
Ron Elliott	To The City, To The Sea	1	All Time Green	2:54	Compilations\TTCTTS\01 Ron Elliott - All Time Green.mp3	6960908
Ralph McTell	To The City, To The Sea	2	Wait Until The Snow	3:04	Compilations\TTCTTS\02 Ralph McTell - Wait Until The Snow.mp3	7391036
John and Beverly Martyn	To The City, To The Sea	3	John The Baptist	3:10	Compilations\TTCTTS\03 John and Beverly Martyn - John The Baptist.mp3	7614452
John Sebastian	To The City, To The Sea	4	Red Eye Express	2:54	Compilations\TTCTTS\04 John Sebastian - Red Eye Express.mp3	6968216
The Band	To The City, To The Sea	5	When You Awake	3:11	Compilations\TTCTTS\05 The Band - When You Awake.mp3	7673960
John Cale	To The City, To The Sea	6	Gideon's Bible	3:21	Compilations\TTCTTS\06 John Cale - Gideon's Bible.mp3	8040404
